...1,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
639751,639751,2023-03-08T14:53:54Z,3616,1721,1553.99,5756034,66,1,1
549013,549013,2023-02-27T07:21:10Z,2979,1465,1515.99,4951270,57,1,1
58947,58947,2023-01-07T06:26:07Z,2586,8251,31.14,541567,6,0,0
476776,476776,2023-02-19T14:03:42Z,1997,1107,823.41,4284222,49,0,0
277397,277397,2023-01-29T18:48:20Z,942,2246,322.45,2486900,28,0,0
1573263,1573263,2023-06-14T06:19:23Z,934,5914,407.4,14192363,164,0,0
1273753,1273753,2023-05-13T17:50:03Z,2145,1211,157.41,11469003,132,0,0
1158341,1158341,2023-05-01T16:58:27Z,3191,8971,216.59,10429107,120,0,0
787715,787715,2023-03-24T06:20:36Z,4342,7013,179,7107636,82,0,0
1513682,1513682,2023-06-07T20:52:07Z,1448,5381,336.81,13639927,157,0,0
1194320,1194320,2023-05-05T12:54:25Z,1036,3640,522.18,10760065,124,0,0
1511328,1511328,2023-06-07T15:00:05Z,1314,6250,580.39,13618805,157,0,0
373476,373476,2023-02-08T19:01:47Z,4770,7156,657.89,3351707,38,0,0
577190,577190,2023-03-02T06:32:41Z,1235,8916,1314.75,5207561,60,1,1
635834,635834,2023-03-08T09:11:25Z,3847,1403,208.79,5735485,66,0,0
245474,245474,2023-01-26T13:07:01Z,2459,917,735.3,2207221,25,0,0
1559569,1559569,2023-06-12T14:54:28Z,318,1383,16.9,14050468,162,0,0
1683469,1683469,2023-06-25T13:13:35Z,3412,716,1656.06,15167615,175,1,1
973470,973470,2023-04-12T11:56:14Z,1658,2271,2.71,8769374,101,0,0
1543356,1543356,2023-06-11T03:25:24Z,3991,3754,16.63,13922724,161,0,0
1334193,1334193,2023-05-20T07:14:54Z,3269,7499,436,12035694,139,0,0
15403,15403,2023-01-02T13:33:32Z,554,3503,69.13,135212,1,0,0
1640567,1640567,2023-06-21T06:37:39Z,4729,9215,507.5,14798259,171,0,0
995307,995307,2023-04-14T16:00:00Z,3267,1063,737.72,8956800,103,0,0
1690545,1690545,2023-06-26T09:37:15Z,2815,5909,839.24,15241035,176,0,0
332945,332945,2023-02-04T14:39:07Z,3098,4637,110.31,2990347,34,0,0
1226822,1226822,2023-05-08T22:01:45Z,1078,8672,940.75,11052105,127,0,0
716973,716973,2023-03-16T15:41:47Z,4630,9979,100.9,6450107,74,0,0
466290,466290,2023-02-18T12:55:02Z,2660,5771,504.36,4193702,48,0,0
670306,670306,2023-03-11T18:40:42Z,1666,2136,78.97,6028842,69,0,0
1175619,1175619,2023-05-03T13:34:43Z,3858,1325,27.48,10589683,122,0,0
1606825,1606825,2023-06-17T13:59:52Z,2621,2386,163.09,14479192,167,0,0
761434,761434,2023-03-21T10:23:44Z,115,2810,547.76,6863024,79,0,0
1662745,1662745,2023-06-23T11:19:21Z,4218,5495,48.12,14987961,173,0,0
1386264,1386264,2023-05-25T13:32:49Z,2218,9786,145.36,12490369,144,0,0
1047846,1047846,2023-04-20T08:56:54Z,1943,167,221.89,9449814,109,0,0
189806,189806,2023-01-20T16:48:59Z,3612,6317,13.34,1702139,19,0,0
488324,488324,2023-02-20T17:11:27Z,2123,9481,238.66,4381887,50,0,0
389790,389790,2023-02-10T13:21:24Z,3669,7689,737.46,3504084,40,0,0
1742116,1742116,2023-07-01T15:31:19Z,476,1067,77.46,15694279,181,0,0
1405005,1405005,2023-05-27T13:04:13Z,4661,2878,1695.35,12661453,146,1,2
578394,578394,2023-03-02T08:48:16Z,132,30,3.04,5215696,60,0,0
1260942,1260942,2023-05-12T12:09:17Z,4628,5260,317.74,11362157,131,0,0
800152,800152,2023-03-25T11:14:17Z,4281,1974,281.1,7211657,83,0,0
1723151,1723151,2023-06-29T15:37:44Z,4399,7717,133.44,15521864,179,0,0
1086329,1086329,2023-04-24T09:03:30Z,4970,7184,50.96,9795810,113,0,0
845399,845399,2023-03-30T06:56:48Z,2264,3343,73.68,7628208,88,0,0
789458,789458,2023-03-24T09:40:11Z,3047,9516,27.31,7119611,82,0,0
421143,421143,2023-02-13T18:00:31Z,3761,4046,378.23,3780031,43,0,0
1042719,1042719,2023-04-19T15:31:12Z,1044,9463,476.69,9387072,108,0,0
559062,559062,2023-02-28T08:12:53Z,759,6432,137.74,5040773,58,0,0
1722006,1722006,2023-06-29T13:47:50Z,111,4438,1009.75,15515270,179,1,1
408059,408059,2023-02-12T12:15:16Z,4268,6027,36.69,3672916,42,0,0
634610,634610,2023-03-08T06:46:41Z,2737,1884,816.17,5726801,66,0,0
1009231,1009231,2023-04-16T08:06:15Z,4049,1491,449.09,9101175,105,0,0
753267,753267,2023-03-20T12:33:09Z,1475,1305,574.97,6784389,78,0,0
306972,306972,2023-02-01T22:09:22Z,3508,3812,25.49,2758162,31,0,0
861304,861304,2023-03-31T16:54:11Z,1893,3646,653.99,7750451,89,0,0
941596,941596,2023-04-09T06:14:41Z,2587,5597,564.95,8489681,98,0,0
1307666,1307666,2023-05-17T10:40:41Z,3337,1970,132.14,11788841,136,0,0
1316056,1316056,2023-05-18T08:46:04Z,2882,3251,1114.1,11868364,137,1,1
343418,343418,2023-02-05T16:00:58Z,3168,5537,514.18,3081658,35,0,0
313847,313847,2023-02-02T14:34:01Z,3498,5043,450.18,2817241,32,0,0
1359283,1359283,2023-05-22T16:23:59Z,3506,5246,283.43,12241439,141,0,0
445187,445187,2023-02-16T10:13:59Z,1480,6531,303.45,4011239,46,0,0
207741,207741,2023-01-22T14:15:45Z,4116,8129,812.5,1865745,21,0,0
1510154,1510154,2023-06-07T13:06:21Z,3825,8196,1105.76,13611981,157,1,1
1365847,1365847,2023-05-23T11:34:32Z,277,6748,199.61,12310472,142,0,0
1596645,1596645,2023-06-16T13:01:16Z,1121,3809,328.37,14389276,166,0,0
712147,712147,2023-03-16T08:28:07Z,159,4271,787.23,6424087,74,0,0
1280030,1280030,2023-05-14T12:14:30Z,1881,8257,805.27,11535270,133,0,0
1319725,1319725,2023-05-18T14:16:39Z,2200,2155,313.03,11888199,137,0,0
1402336,1402336,2023-05-27T09:05:23Z,3489,5225,713.06,12647123,146,0,0
271398,271398,2023-01-29T08:53:22Z,423,3746,267.44,2451202,28,0,0
1386787,1386787,2023-05-25T14:22:41Z,2194,7864,897.44,12493361,144,0,0
595395,595395,2023-03-04T04:15:44Z,3326,9059,940.8,5372144,62,0,0
1542230,1542230,2023-06-10T19:31:02Z,3319,8376,1208.31,13894262,160,1,1
1167180,1167180,2023-05-02T15:22:47Z,672,9556,586.06,10509767,121,0,0
1035130,1035130,2023-04-18T20:12:34Z,1096,9079,284.64,9317554,107,0,0
1709766,1709766,2023-06-28T09:52:56Z,2558,5413,1348.51,15414776,178,1,1
626027,626027,2023-03-07T08:43:20Z,3763,3276,997.39,5647400,65,0,0
1130087,1130087,2023-04-28T18:03:16Z,3866,407,1678.31,10173796,117,1,1
46356,46356,2023-01-05T16:56:30Z,4222,3987,120.68,406590,4,0,0
1073394,1073394,2023-04-22T19:48:03Z,738,2920,72.39,9661683,111,0,0
1620841,1620841,2023-06-19T05:15:38Z,4678,7053,929.94,14620538,169,0,0
259128,259128,2023-01-28T00:38:32Z,3209,3640,425.43,2335112,27,0,0
204395,204395,2023-01-22T09:37:13Z,1899,2640,67.9,1849033,21,0,0
327739,327739,2023-02-04T06:14:00Z,3391,3483,177.47,2960040,34,0,0
766370,766370,2023-03-21T18:46:53Z,62,7168,452.5,6893213,79,0,0
1163538,1163538,2023-05-02T10:04:46Z,4031,3571,393.14,10490686,121,0,0
312148,312148,2023-02-02T12:07:27Z,2957,7642,1014.37,2808447,32,1,1
724054,724054,2023-03-17T12:03:48Z,849,3321,509.8,6523428,75,0,0
1404530,1404530,2023-05-27T12:23:26Z,4320,2270,949.2,12659006,146,0,0
652174,652174,2023-03-10T00:23:29Z,2992,8226,178.37,5876609,68,0,0
1447809,1447809,2023-06-01T03:59:55Z,2699,7835,808.14,13060795,151,0,0
119008,119008,2023-01-13T10:51:21Z,64,1943,1529.42,1075881,12,1,1
1096893,1096893,2023-04-25T10:40:33Z,706,4727,213.03,9888033,114,0,0
1620721,1620721,2023-06-19T04:55:19Z,1331,8726,304.61,14619319,169,0,0
711863,711863,2023-03-16T08:01:22Z,3013,8613,76.23,6422482,74,0,0
996480,996480,2023-04-14T18:35:13Z,1835,1249,792.31,8966113,103,0,0
1035316,1035316,2023-04-18T21:06:44Z,612,8252,495.76,9320804,107,0,0
1295534,1295534,2023-05-16T06:16:43Z,677,2564,216.46,11686603,135,0,0
1085276,1085276,2023-04-24T07:11:32Z,2014,7694,388.81,9789092,113,0,0
453490,453490,2023-02-17T08:02:42Z,3177,7427,811.12,4089762,47,0,0
443756,443756,2023-02-16T08:00:56Z,2553,5181,322.96,4003256,46,0,0
486777,486777,2023-02-20T14:25:30Z,3396,2237,309.76,4371930,50,0,0
244204,244204,2023-01-26T11:17:29Z,3805,9606,68.2,2200649,25,0,0
407083,407083,2023-02-12T10:50:51Z,3314,113,1191.31,3667851,42,1,1
579113,579113,2023-03-02T10:00:21Z,4393,2906,37.8,5220021,60,0,0
287812,287812,2023-01-30T21:45:48Z,4672,2489,602.16,2583948,29,0,0
1203120,1203120,2023-05-06T11:43:37Z,1938,898,418.17,10842217,125,0,0
110349,110349,2023-01-12T12:12:52Z,4482,430,136.94,994372,11,0,0
821498,821498,2023-03-27T14:19:33Z,321,8884,44.88,7395573,85,0,0
1114020,1114020,2023-04-27T07:32:57Z,2727,6038,372.28,10049577,116,0,0
1508445,1508445,2023-06-07T10:39:10Z,1369,4576,97.43,13603150,157,0,0
1438033,1438033,2023-05-31T00:49:49Z,1920,4486,659.17,12962989,150,0,0
1243448,1243448,2023-05-10T14:40:56Z,4766,3089,807.5,11198456,129,0,0
379762,379762,2023-02-09T12:49:12Z,3653,558,219.33,3415752,39,0,0
1012261,1012261,2023-04-16T12:44:24Z,4561,411,214.59,9117864,105,0,0
1066160,1066160,2023-04-22T06:59:46Z,4962,8009,359.29,9615586,111,0,0
1635942,1635942,2023-06-20T14:29:04Z,4106,1377,1277.65,14740144,170,1,1
1100807,1100807,2023-04-25T16:53:08Z,4869,5164,1331.22,9910388,114,1,1
1725195,1725195,2023-06-29T21:15:37Z,3259,1177,104.12,15542137,179,0,0
1711097,1711097,2023-06-28T11:49:59Z,1560,8644,163.18,15421799,178,0,0
1286971,1286971,2023-05-15T08:13:32Z,4699,5932,1016.4,11607212,134,1,1
1081602,1081602,2023-04-23T16:33:00Z,1605,5613,1331.46,9736380,112,1,1
832834,832834,2023-03-28T17:31:35Z,1121,8435,490.09,7493495,86,0,0
869282,869282,2023-04-01T13:58:17Z,1963,1889,19.25,7826297,90,0,0
838284,838284,2023-03-29T10:59:32Z,439,5372,28.5,7556372,87,0,0
1275934,1275934,2023-05-14T05:02:18Z,4291,3326,575.18,11509338,133,0,0
188985,188985,2023-01-20T15:19:45Z,2445,7263,431.23,1696785,19,0,0
1739383,1739383,2023-07-01T11:22:04Z,62,3660,567.21,15679324,181,0,0
589900,589900,2023-03-03T11:57:50Z,2440,1527,157.8,5313470,61,0,0
270545,270545,2023-01-29T07:25:36Z,1056,7820,553.45,2445936,28,0,0
311989,311989,2023-02-02T11:53:18Z,1955,8298,53.55,2807598,32,0,0
1265390,1265390,2023-05-12T21:56:52Z,4110,3653,417.97,11397412,131,0,0
1481057,1481057,2023-06-04T12:32:51Z,893,7806,138.05,13350771,154,0,0
118842,118842,2023-01-13T10:36:51Z,2337,3637,97.47,1075011,12,0,0
1437426,1437426,2023-05-30T20:21:04Z,3087,4936,803.34,12946864,149,0,0
1745529,1745529,2023-07-02T05:27:26Z,3879,8965,192.77,15744446,182,0,0
95356,95356,2023-01-10T20:32:12Z,2791,6335,233.72,851532,9,0,0
1649447,1649447,2023-06-22T04:30:55Z,3460,8136,65.67,14877055,172,0,0
1508347,1508347,2023-06-07T10:29:36Z,4256,5479,129.95,13602576,157,0,0
469072,469072,2023-02-18T17:36:47Z,4604,4035,435.72,4210607,48,0,0
681198,681198,2023-03-13T02:43:49Z,3782,1348,1548.56,6144229,71,1,2
1451523,1451523,2023-06-01T11:14:54Z,3630,2930,182.49,13086894,151,0,0
1733039,1733039,2023-06-30T16:22:57Z,2968,9748,732.28,15610977,180,0,0
839366,839366,2023-03-29T12:31:41Z,1437,8493,1276.86,7561901,87,1,1
1331145,1331145,2023-05-19T18:03:23Z,720,2346,1083.86,11988203,138,1,1
537003,537003,2023-02-25T20:39:57Z,4203,8411,923.09,4826397,55,0,0
1532712,1532712,2023-06-09T20:05:29Z,2055,9882,65.19,13809929,159,0,0
1272220,1272220,2023-05-13T14:49:37Z,296,1381,517.79,11458177,132,0,0
610382,610382,2023-03-05T13:55:45Z,2227,6245,686.72,5493345,63,0,0
1557875,1557875,2023-06-12T12:27:48Z,354,6268,103.34,14041668,162,0,0
222953,222953,2023-01-24T08:01:39Z,2558,6150,801.13,2016099,23,0,0
248614,248614,2023-01-26T19:04:42Z,3795,207,996.36,2228682,25,0,0
1409467,1409467,2023-05-28T03:23:56Z,3630,6513,416.54,12713036,147,0,0
1371849,1371849,2023-05-24T05:33:05Z,1632,277,260.35,12375185,143,0,0
453816,453816,2023-02-17T08:38:35Z,383,4299,663.73,4091915,47,0,0
4754,4754,2023-01-01T12:00:57Z,561,5393,1544.56,43257,0,1,1
918068,918068,2023-04-06T14:40:57Z,3338,1663,192.76,8260857,95,0,0
21066,21066,2023-01-03T07:24:40Z,1536,7667,1169.79,199480,2,1,1
702331,702331,2023-03-15T07:54:12Z,627,1447,704.79,6335652,73,0,0
1751919,1751919,2023-07-02T15:57:41Z,1055,7961,705.94,15782261,182,0,0
1377535,1377535,2023-05-24T14:52:50Z,117,3023,528.55,12408770,143,0,0
1219296,1219296,2023-05-08T07:13:54Z,3690,7090,365.62,10998834,127,0,0
486374,486374,2023-02-20T13:47:58Z,619,7014,118.42,4369678,50,0,0
312289,312289,2023-02-02T12:20:09Z,1692,8548,606.23,2809209,32,0,0
432690,432690,2023-02-15T05:01:07Z,4121,8133,139.28,3906067,45,0,0
