Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN33189,2,0,2,3,Meal Plan 1,0,Room_Type 4,34,2018,10,2,Online,0,0,0,95.47,1,Not_Canceled
INN28279,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,101.5,0,Not_Canceled
INN30658,2,0,0,2,Meal Plan 2,0,Room_Type 1,265,2018,6,24,Offline,0,0,0,115,1,Canceled
INN32988,2,0,1,3,Not Selected,0,Room_Type 1,100,2018,5,2,Online,0,0,0,91.38,1,Not_Canceled
INN35906,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,95,0,Canceled
INN22959,2,0,2,5,Meal Plan 1,0,Room_Type 1,70,2018,5,11,Online,0,0,0,119.85,2,Not_Canceled
INN10738,2,0,0,2,Meal Plan 1,0,Room_Type 1,317,2018,9,15,Offline,0,0,0,120,0,Canceled
INN18940,1,0,0,1,Meal Plan 1,0,Room_Type 1,47,2018,4,12,Online,0,0,0,99.9,0,Canceled
INN05571,1,0,1,2,Not Selected,0,Room_Type 1,120,2018,6,27,Online,0,0,0,85.5,0,Not_Canceled
INN27060,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,10,5,Offline,0,0,0,85,0,Not_Canceled
INN13876,2,0,0,2,Not Selected,0,Room_Type 1,37,2018,12,2,Online,0,0,0,88,2,Not_Canceled
INN22044,2,0,1,2,Meal Plan 1,0,Room_Type 4,95,2018,6,3,Online,0,0,0,137.4,3,Not_Canceled
INN20458,2,0,0,2,Meal Plan 1,0,Room_Type 1,191,2018,5,12,Offline,0,0,0,80.75,1,Not_Canceled
INN33614,2,0,0,2,Meal Plan 1,0,Room_Type 1,107,2018,6,10,Offline,0,0,0,130,1,Not_Canceled
INN07686,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,8,16,Online,0,0,0,91.59,0,Not_Canceled
INN28832,2,0,1,2,Meal Plan 1,0,Room_Type 1,159,2018,9,19,Offline,0,0,0,144,0,Canceled
INN01279,1,0,0,3,Meal Plan 1,0,Room_Type 1,76,2017,9,15,Offline,0,0,0,64.6,0,Not_Canceled
INN30352,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2017,12,7,Complementary,0,0,0,0,1,Not_Canceled
INN27268,2,0,1,4,Meal Plan 1,0,Room_Type 1,53,2018,11,21,Online,0,0,0,88.4,1,Not_Canceled
INN26959,2,0,0,3,Meal Plan 1,0,Room_Type 1,30,2017,10,7,Online,0,0,0,94.5,2,Not_Canceled
INN26348,2,0,0,4,Meal Plan 1,0,Room_Type 1,85,2018,4,12,Online,0,0,0,90.95,1,Not_Canceled
INN22807,2,0,2,1,Meal Plan 2,0,Room_Type 1,7,2018,10,29,Online,0,0,0,151.19,1,Not_Canceled
INN19519,1,0,2,5,Meal Plan 1,0,Room_Type 1,7,2018,1,11,Online,0,0,0,73.9,0,Not_Canceled
INN28260,1,0,2,3,Meal Plan 1,0,Room_Type 1,120,2018,3,27,Online,0,0,0,79.05,0,Canceled
INN19658,2,0,0,4,Meal Plan 1,0,Room_Type 1,195,2018,8,3,Online,0,0,0,99.95,0,Canceled
INN22181,2,0,2,3,Meal Plan 1,0,Room_Type 4,152,2018,8,19,Online,0,0,0,113.9,0,Canceled
INN28611,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,11,4,Online,0,0,0,149,1,Not_Canceled
INN08503,2,0,0,3,Meal Plan 1,0,Room_Type 1,126,2018,8,3,Offline,0,0,0,72.25,0,Canceled
INN28159,2,0,2,4,Meal Plan 1,0,Room_Type 1,26,2018,10,16,Online,0,0,0,139,1,Not_Canceled
INN35382,2,0,2,0,Meal Plan 1,0,Room_Type 1,17,2018,9,11,Online,0,0,0,124,1,Not_Canceled
INN22180,2,0,2,1,Not Selected,0,Room_Type 1,0,2018,2,14,Online,0,0,0,82.33,0,Not_Canceled
INN23264,2,0,2,1,Meal Plan 1,0,Room_Type 1,124,2018,7,23,Offline,0,0,0,72.25,0,Not_Canceled
INN29989,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110,0,Canceled
INN23139,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73,0,Not_Canceled
INN02100,1,1,1,3,Not Selected,0,Room_Type 1,92,2018,6,20,Online,0,0,0,81.95,1,Not_Canceled
INN04169,3,0,2,8,Meal Plan 1,0,Room_Type 4,39,2018,12,8,Online,0,0,0,130.9,2,Not_Canceled
INN31634,2,0,2,2,Meal Plan 1,0,Room_Type 1,166,2018,8,5,Online,0,0,0,99.45,0,Canceled
INN13883,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2018,11,15,Corporate,1,1,4,88,0,Not_Canceled
INN25095,2,0,2,3,Not Selected,0,Room_Type 1,121,2018,7,7,Online,0,0,0,103.5,1,Not_Canceled
INN24640,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,9,29,Online,0,0,0,118.09,0,Canceled
INN08266,2,0,1,1,Meal Plan 1,0,Room_Type 1,113,2018,8,1,Online,0,0,0,105.3,0,Canceled
INN29971,3,0,1,3,Meal Plan 1,0,Room_Type 4,55,2018,9,1,Online,0,0,0,142.2,2,Not_Canceled
INN16863,1,0,0,2,Meal Plan 1,0,Room_Type 1,15,2018,11,1,Online,0,0,0,112,1,Not_Canceled
INN19461,1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2018,6,21,Online,0,0,0,101.7,1,Not_Canceled
