"Geslacht";"Niveau";"Leerweg";"Studierichting";"Regio";"Perioden";"Gediplomeerden mbo (Aantal)"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Nederland";"2020/'21*";"  157300"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Groningen (PV)";"2020/'21*";"    5850"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Fryslân (PV)";"2020/'21*";"    7250"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Drenthe (PV)";"2020/'21*";"    5230"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Overijssel (PV)";"2020/'21*";"   12880"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Flevoland (PV)";"2020/'21*";"    4940"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Gelderland (PV)";"2020/'21*";"   20160"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Utrecht (PV)";"2020/'21*";"   10550"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Holland (PV)";"2020/'21*";"   22530"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zuid-Holland (PV)";"2020/'21*";"   32550"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Zeeland (PV)";"2020/'21*";"    3490"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Noord-Brabant (PV)";"2020/'21*";"   22260"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Limburg (PV)";"2020/'21*";"    8830"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Totaal";"Niet in te delen (PV)";"2020/'21*";"     790"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Nederland";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Groningen (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Fryslân (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Drenthe (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Overijssel (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Flevoland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Gelderland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Utrecht (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Holland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zuid-Holland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Zeeland (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Noord-Brabant (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Limburg (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Niet gespecificeerd naar sectorkamer";"Niet in te delen (PV)";"2020/'21*";"       0"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Nederland";"2020/'21*";"   20430"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Groningen (PV)";"2020/'21*";"     800"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Fryslân (PV)";"2020/'21*";"     910"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Drenthe (PV)";"2020/'21*";"     740"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Overijssel (PV)";"2020/'21*";"    1890"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Flevoland (PV)";"2020/'21*";"     430"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Gelderland (PV)";"2020/'21*";"    2610"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Utrecht (PV)";"2020/'21*";"    1300"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Holland (PV)";"2020/'21*";"    2830"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zuid-Holland (PV)";"2020/'21*";"    3650"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Zeeland (PV)";"2020/'21*";"     640"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Noord-Brabant (PV)";"2020/'21*";"    3410"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Limburg (PV)";"2020/'21*";"    1140"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer techniek en gebouwde omgeve.";"Niet in te delen (PV)";"2020/'21*";"     100"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Nederland";"2020/'21*";"   10990"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Groningen (PV)";"2020/'21*";"     370"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Fryslân (PV)";"2020/'21*";"     520"
"Totaal mannen en vrouwen";"Totaal mbo";"Totaal mbo (incl extranei)";"Sectorkamer mobiliteit, transport, logi.";"Drenthe (PV)";"2020/'21*";"     410"
